Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"ditto-151-132","Ditto · Rare (132/165)","<p><strong>Ditto</strong> — Rare from Scarlet & Violet — 151 (132/165).</p><p>Type: Colorless · HP 60</p><p>Illustrated by KIYOTAKA OSHIYAMA.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-132-165",1,"shopify",5,"deny","manual",2.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/132_hires.png","Ditto Rare card","active"
"omanyte-151-180","Omanyte · Illustration Rare (180/165)","<p><strong>Omanyte</strong> — Illustration Rare from Scarlet & Violet — 151 (180/165).</p><p>Type: Water · HP 100</p><p>Illustrated by Yano Keiji.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-180-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/180_hires.png","Omanyte Illustration Rare card","active"
"shanks-op01-120","Shanks · Secret Rare (OP01-120)","<p><strong>Shanks</strong> — Secret Rare from OP-01 Romance Dawn (OP01-120).</p><p>Color: Red · Power 10000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Secret Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-120",1,"shopify",5,"deny","manual",149.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-120.png?260715","Shanks Secret Rare card","active"
"yamato-op01-121","Yamato · Secret Rare (OP01-121)","<p><strong>Yamato</strong> — Secret Rare from OP-01 Romance Dawn (OP01-121).</p><p>Color: Green · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Secret Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-121",1,"shopify",5,"deny","manual",149.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-121.png?260715","Yamato Secret Rare card","active"
"roronoa-zoro-op01-001","Roronoa Zoro · Leader (OP01-001)","<p><strong>Roronoa Zoro</strong> — Leader from OP-01 Romance Dawn (OP01-001).</p><p>Color: Red · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-001",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-001.png?260715","Roronoa Zoro Leader card","active"
"trafalgar-law-op01-002","Trafalgar Law · Leader (OP01-002)","<p><strong>Trafalgar Law</strong> — Leader from OP-01 Romance Dawn (OP01-002).</p><p>Color: Red/Green · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-002",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-002.png?260715","Trafalgar Law Leader card","active"
"monkey-d-luffy-op01-003","Monkey.D.Luffy · Leader (OP01-003)","<p><strong>Monkey.D.Luffy</strong> — Leader from OP-01 Romance Dawn (OP01-003).</p><p>Color: Red/Green · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-003",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-003.png?260715","Monkey.D.Luffy Leader card","active"
"kouzuki-oden-op01-031","Kouzuki Oden · Leader (OP01-031)","<p><strong>Kouzuki Oden</strong> — Leader from OP-01 Romance Dawn (OP01-031).</p><p>Color: Green · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-031",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-031.png?260715","Kouzuki Oden Leader card","active"
"donquixote-doflamingo-op01-060","Donquixote Doflamingo · Leader (OP01-060)","<p><strong>Donquixote Doflamingo</strong> — Leader from OP-01 Romance Dawn (OP01-060).</p><p>Color: Blue · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-060",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-060.png?260715","Donquixote Doflamingo Leader card","active"
"kaido-op01-061","Kaido · Leader (OP01-061)","<p><strong>Kaido</strong> — Leader from OP-01 Romance Dawn (OP01-061).</p><p>Color: Blue/Purple · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-061",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-061.png?260715","Kaido Leader card","active"
